,iteration,metric,value,index,hyperparameters
0,full_train_raw_first_shot,,0.5138,model_name_or_path,sentence-transformers/paraphrase-mpnet-base-v2
1,eval_raw_first_shot,,0.5,dataset,SetFit/emotion
2,full_train_trained_first_shot,,0.4864,train_dataset_size,5000
3,eval_trained_first_shot,,0.477,random_seed,222
4,data_selector,1,0.8125,dataset_train_split,train
5,full_train_setfit_iteration,1,0.4466,dataset_test_split,test
6,cur_train_setfit_iteration,1,0.8125,hypothesis_template,The emotion in this text is {}
7,full_train_first_shot_iteration,1,0.4992,multi_target_strategy,None
8,eval_first_shot_iteration,1,0.4835,use_differentiable_head,False
9,eval_setfit_iteration,1,0.438,num_iterations,20
10,data_selector,2,0.84375,num_setfit_iterations,2
11,full_train_setfit_iteration,2,0.46,num_epochs,1
12,cur_train_setfit_iteration,2,0.84375,samples_per_label,4
13,full_train_first_shot_iteration,2,0.4954,normalize_embeddings,False
14,eval_first_shot_iteration,2,0.479,selection_strategy,ic
15,eval_setfit_iteration,2,0.449,batch_size,8
16,data_selector,3,0.791666666666666,var_samples_per_label,None
17,full_train_setfit_iteration,3,0.508,var_selection_strategy,None
18,cur_train_setfit_iteration,3,0.791666666666666,learning_rate,2e-05
19,full_train_first_shot_iteration,3,0.5318,body_learning_rate,1e-06
20,eval_first_shot_iteration,3,0.5215,num_body_epochs,2
21,eval_setfit_iteration,3,0.5,freeze_head,False
22,,,,freeze_body,False
23,,,,train_first_shot,True
24,,,,allow_resampling,False
25,,,,growth_rate,2
26,,,,growth_threshold,0.05
27,,,,starting_n,8
28,,,,cluster_permissiveness,100.
